rxn	name	ec	bihit	qseqid	pident	evalue	bitscore	qcovs	stitle	sstart	send	pathway	status	pathway.status	dbhit	complex	exception	complex.status
5-FORMYL-THF-CYCLO-LIGASE-RXN	5-formyltetrahydrofolate cyclo-ligase	6.3.3.2	NA									|1CMET2-PWY|	no_blast	NA	rxn01653 	NA	0	NA
1.5.1.20-RXN	5,10-methylenetetrahydrofolate reductase	1.5.1.20/1.1.1.171		UniRef50_A0A5E4K464	42.049	1.82e-68	227	96	scaffold00036	21764	22573	|1CMET2-PWY|	good_blast	NA	rxn00909 rxn00910 rxn04954 rxn31870 	NA	0	1
1.5.1.20-RXN	5,10-methylenetetrahydrofolate reductase	1.5.1.20/1.1.1.171		UniRef50_K8DWV4	44.534	2.33e-67	224	85	scaffold00036	21764	22489	|1CMET2-PWY|	good_blast	NA	rxn00909 rxn00910 rxn04954 rxn31870 	NA	0	1
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13		UniRef50_A0A842SE73	37.081	1.79e-104	351	75	scaffold00036	23692	25443	|1CMET2-PWY|	good_blast	NA	rxn00693 rxn16206 rxn33979 	NA	0	1
GCVMULTI-RXN	gcv system		NA									|1CMET2-PWY|	no_seq_data	NA	 	NA	0	NA
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_A3CWL0	45.276	7.56e-64	214	89	scaffold00014	54843	54082	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHENYLTHFCYCLOHYDRO-RXN	methenyltetrahydrofolate cyclohydrolase	3.5.4.9		UniRef90_B8GG34	43.922	1.09e-59	202	90	scaffold00014	54843	54082	|1CMET2-PWY|	good_blast	NA	rxn01211 rxn24147 rxn34053 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_A3CWL0	45.276	7.56e-64	214	89	scaffold00014	54843	54082	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
METHYLENETHFDEHYDROG-NADP-RXN	methylenetetrahydrofolate dehydrogenase	1.5.1.5		UniRef90_B8GG34	43.922	1.09e-59	202	90	scaffold00014	54843	54082	|1CMET2-PWY|	good_blast	NA	rxn00907 rxn32777 	NA	0	1
GLYOHMETRANS-RXN	5,10-methylenetetrahydrofolate:glycine hydroxymethyltransferase	2.1.2.1		UniRef90_A0B8J6	56.901	1.24e-149	466	99	scaffold00005	51076	52305	|1CMET2-PWY|	good_blast	NA	rxn00692 rxn15964 rxn19870 rxn33976 rxn33977 	NA	0	1
THYMIDYLATESYN-RXN	thymidylate synthase	2.1.1.45	NA									|1CMET2-PWY|	no_blast	NA	rxn01520 rxn11007 rxn34042 	NA	0	NA
AMINOBENZCOALIG-RXN	2-aminobenzoate-CoA ligase	6.2.1.32	NA	UniRef50_A0A0F7IFG2	22.857	2.14e-27	115	90	scaffold00019	19407	17938	|2AMINOBENZDEG-PWY|	bad_blast	NA	rxn00723 rxn05125 	NA	0	NA
AMBENCOATHAUERA-RXN	2-aminobenzoyl-CoA reductase		NA									|2AMINOBENZDEG-PWY|	no_seq_data	NA	 	NA	0	NA
2ASDOSALCAL-RXN	2-aminobenzenesulfonate,NADH:oxygen oxidoreductase (2,3-hydroxylating, ammonia-forming)	1.14.12.14	NA									|2ASDEG-PWY|	no_seq_data	NA	rxn03496 	NA	0	NA
3SC23OALCAL-RXN	3-sulfocatechol 2,3-dioxygenase		NA									|2ASDEG-PWY|	no_seq_data	NA	 	NA	0	NA
3SC23OSPON-RXN	3SC23OSPON-RXN		NA									|2ASDEG-PWY|	spontaneous	NA	 	NA	0	NA
RXN-8529	RXN-8529	5.3.2.6	NA	UniRef50_A0A1Q9NLK4	33.333	5.6	21.9	81	scaffold00019	40478	40353	|2ASDEG-PWY|	bad_blast	NA	 	NA	0	NA
4.1.1.77-RXN	4.1.1.77-RXN	4.1.1.77	NA									|2ASDEG-PWY|	no_seq_data	NA	rxn01894 rxn03675 rxn18926 	NA	0	NA
2-OXOBUTYRATE-SYNTHASE-RXN	2-oxobutanoate:ferredoxin oxidoreductase	1.2.7.7	NA									|2OXOBUTYRATECAT-PWY|	no_blast	NA	rxn05940 rxn13962 rxn14109 rxn14152 rxn17212 	Subunit 1	0	NA
2-OXOBUTYRATE-SYNTHASE-RXN	2-oxobutanoate:ferredoxin oxidoreductase	1.2.7.7	NA									|2OXOBUTYRATECAT-PWY|	no_blast	NA	rxn05940 rxn13962 rxn14109 rxn14152 rxn17212 	Subunit 3	0	NA
2-OXOBUTYRATE-SYNTHASE-RXN	2-oxobutanoate:ferredoxin oxidoreductase	1.2.7.7	NA									|2OXOBUTYRATECAT-PWY|	no_blast	NA	rxn05940 rxn13962 rxn14109 rxn14152 rxn17212 	Subunit 5rA	0	NA
2-OXOBUTYRATE-SYNTHASE-RXN	2-oxobutanoate:ferredoxin oxidoreductase	1.2.7.7	NA									|2OXOBUTYRATECAT-PWY|	no_blast	NA	rxn05940 rxn13962 rxn14109 rxn14152 rxn17212 	Subunit 5rB	0	NA
2-OXOBUTYRATE-SYNTHASE-RXN	2-oxobutanoate:ferredoxin oxidoreductase	1.2.7.7	NA									|2OXOBUTYRATECAT-PWY|	no_blast	NA	rxn05940 rxn13962 rxn14109 rxn14152 rxn17212 	Subunit 5rC	0	NA
2-OXOBUTYRATE-SYNTHASE-RXN	2-oxobutanoate:ferredoxin oxidoreductase	1.2.7.7	NA									|2OXOBUTYRATECAT-PWY|	no_blast	NA	rxn05940 rxn13962 rxn14109 rxn14152 rxn17212 	Subunit 5rD	0	NA
RXN-7938	acyl-CoA hydrolase (short chain)	3.1.2.18	NA									|2OXOBUTYRATECAT-PWY|	no_seq_data	NA	rxn05824 rxn24522 	NA	0	NA
AMINEPHEN-RXN	phenylethylamine oxidase	1.4.3.21	NA									|2PHENDEG-PWY|	no_seq_data	NA	rxn01715 rxn01833 rxn01903 rxn02250 rxn02828 rxn02993 rxn03639 rxn04140 rxn04571 rxn06056 rxn19154 rxn25689 	NA	0	NA
PHENDEHYD-RXN	phenylacetaldehyde dehydrogenase	1.2.1.39	NA									|2PHENDEG-PWY|	no_seq_data	NA	rxn01840 rxn20533 	NA	0	NA
RXN-8505	4-hydroxyphenylacetate 3-monooxygenase	1.14.14.9/1.14.13.3	NA									|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	no_blast	NA	rxn01945 rxn02363 rxn24966 	Subunit 1	0	NA
RXN-8505	4-hydroxyphenylacetate 3-monooxygenase	1.14.14.9/1.14.13.3	NA									|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	no_blast	NA	rxn01945 rxn02363 rxn24966 	Subunit undefined	0	NA
RXN-8505	4-hydroxyphenylacetate 3-monooxygenase	1.14.14.9/1.14.13.3	NA									|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	no_blast	NA	rxn01945 rxn02363 rxn24966 	NA	0	NA
1.13.11.15-RXN	3,4-dihydroxyphenylacetate dioxygenase	1.13.11.15	NA									|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	no_blast	NA	rxn02366 	NA	0	NA
CHMS-DEHYDROGENASE-RXN	2-hydroxy-5-carboxymethylmuconate semialdehyde dehydrogenase	1.2.1.60	NA									|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	no_seq_data	NA	rxn03055 	NA	0	NA
5.3.3.10-RXN	5-carboxymethyl-2-hydroxymuconate isomerase	5.3.3.10	NA									|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	spontaneous	NA	rxn03040 rxn03092 rxn07630 rxn12709 	NA	0	NA
4-HYDROXY-2-KETOPIMELATE-LYSIS-RXN	4-hydroxy-2-ketopimelate aldolase	4.1.2.52	NA									|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	no_blast	NA	 	NA	0	NA
SUCCSEMIALDDEHYDROG-RXN	SUCCSEMIALDDEHYDROG-RXN	1.2.1.79	NA	UniRef50_A0A060HMJ4	30.686	5.45e-30	116	94	scaffold00012	21330	22139	|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	bad_blast	NA	rxn00509 	NA	0	NA
HYDROXYHEPTA-DIENEDIOATE-HYDROXY-RXN	2-hydroxyhepta-2,4-dienedioate hydratase	4.2.1.163	NA									|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	no_seq_data	NA	 	NA	0	NA
4.1.1.68-RXN	5-carboxymethyl-2-oxo-hex-3-ene-1,7-dioate decarboxylase	4.1.1.68	NA									|3-HYDROXYPHENYLACETATE-DEGRADATION-PWY|	no_blast	NA	rxn02884 rxn03041 	NA	0	NA
HYDROXY-MANDELATE-RACEMASE-RXN	hydroxymandelate racemase	5.1.2.2	NA									|4-HYDROXYMANDELATE-DEGRADATION-PWY|	no_seq_data	NA	rxn02688 rxn02904 	NA	0	NA
4-HYDROXYMANDELATE-OXY-RXN	(S)-mandelate dehydrogenase		NA									|4-HYDROXYMANDELATE-DEGRADATION-PWY|	no_seq_data	NA	 	NA	0	NA
HYDROXYBENZOYLFORMATE-DECARBOXYLASE-RXN	Hydroxybenzoylformate decarboxylase	4.1.1.7		UniRef50_A0A315XPI3	57.258	1.71e-140	438	100	scaffold00039	9237	10352	|4-HYDROXYMANDELATE-DEGRADATION-PWY|	good_blast	NA	rxn01294 rxn01933 	NA	0	1
HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN	NAD+-4-hydroxybenzaldehyde dehydrogenase	1.2.1.64	NA									|4-HYDROXYMANDELATE-DEGRADATION-PWY|	no_seq_data	NA	rxn00957 rxn07482 	NA	0	NA
HYDROXYBENZALDEHYDE-OXIDATION-NADP-RXN	NADP+-4-hydroxybenzaldehyde dehydrogenase	1.2.1.96	NA									|4-HYDROXYMANDELATE-DEGRADATION-PWY|	no_seq_data	NA	 	NA	0	NA
4-HYDROXYBENZOATE-3-MONOOXYGENASE-RXN	p-hydroxybenzoate hydroxylase	1.14.13.2	NA									|4-HYDROXYMANDELATE-DEGRADATION-PWY|	no_blast	NA	rxn00962 	NA	0	NA
TCCOL-RXN	4-toluene-carboxylate monooxygenase		NA									|4TOLCARBDEG-PWY|	no_seq_data	NA	 	NA	0	NA
COLCYD-RXN	4-carboxybenzyl alcohol dehydrogenase		NA									|4TOLCARBDEG-PWY|	no_seq_data	NA	rxn13787 	NA	0	NA
CYDTER-RXN	4-carboxybenzaldehyde dehydrogenase		NA									|4TOLCARBDEG-PWY|	no_seq_data	NA	 	NA	0	NA
6-OXOCINEOLE-DEHYDROGENASE-RXN	6-oxocineole oxygenase	1.14.13.51	NA									|6-HYDROXYCINEOLE-DEGRADATION-PWY|	no_seq_data	NA	rxn02148 	NA	0	NA
6-ENDO-HYDROXYCINEOLE-DEHYDROGENASE-RXN	6-endo-hydroxycineole dehydrogenase	1.1.1.241	NA									|6-HYDROXYCINEOLE-DEGRADATION-PWY|	no_seq_data	NA	rxn02147 	NA	0	NA
C04718-C060066-AUTOTRANSFORMATION-RXN	C04718-C060066-AUTOTRANSFORMATION-RXN		NA									|6-HYDROXYCINEOLE-DEGRADATION-PWY|	spontaneous	NA	 	NA	0	NA
RXN-4342	1,8-cineole 2-exo-monooxygenase	1.14.14.56	NA									|6-HYDROXYCINEOLE-DEGRADATION-PWY|	no_seq_data	NA	 	NA	0	NA
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9	NA									|ACETOACETATE-DEG-PWY|	no_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit 2	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		tr|A4YEH9|A4YEH9_METS5	47.287	3.89e-101	326	97	scaffold00035	1655	498	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0F2PPA7	43.392	3.56e-92	300	99	scaffold00035	1655	468	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0S7ZZB8	48.852	1.67e-86	280	97	scaffold00035	1343	477	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0S8AC53	40.204	7.02e-80	265	95	scaffold00035	1655	516	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A0N9XQC3	37.500	3.18e-66	225	99	scaffold00035	1655	471	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETYL-COA-ACETYLTRANSFER-RXN	acetyl-CoA acetyltransferase	2.3.1.16/2.3.1.9		UniRef50_A0A024HJ80	38.191	3.18e-64	219	99	scaffold00035	1655	477	|ACETOACETATE-DEG-PWY|	good_blast	NA	rxn00178 rxn00874 rxn23003 	Subunit undefined	0	1
ACETOACETYL-COA-TRANSFER-RXN	acetoacetyl-CoA transferase	2.8.3.9	NA									|ACETOACETATE-DEG-PWY|	no_blast	NA	rxn00994 	Subunit 1	0	NA
ACETOACETYL-COA-TRANSFER-RXN	acetoacetyl-CoA transferase	2.8.3.9	NA									|ACETOACETATE-DEG-PWY|	no_blast	NA	rxn00994 	Subunit 2	0	NA
ACETOACETYL-COA-TRANSFER-RXN	acetoacetyl-CoA transferase	2.8.3.9	NA									|ACETOACETATE-DEG-PWY|	no_blast	NA	rxn00994 	Subunit undefined	0	NA
ACETOACETYL-COA-TRANSFER-RXN	acetoacetyl-CoA transferase	2.8.3.9	NA									|ACETOACETATE-DEG-PWY|	no_blast	NA	rxn00994 	NA	0	NA
2.1.1.5-RXN	betaine-homocysteine S-methyltransferase	2.1.1.5	NA									|ADENOSYLHOMOCYSCAT-PWY|	no_seq_data	NA	rxn02028 	NA	0	NA
MMUM-RXN	S-methylmethionine homocysteine methyltransferase	2.1.1.10	NA	UniRef50_A0A1Q9NN25	26.855	7.60e-14	68.9	95	scaffold00036	23716	24519	|ADENOSYLHOMOCYSCAT-PWY|	bad_blast	NA	rxn00452 rxn08703 	NA	0	NA
HOMOCYSMETB12-RXN	cobalamin-dependent methionine synthase	2.1.1.13		UniRef50_A0A842SE73	37.081	1.79e-104	351	75	scaffold00036	23692	25443	|ADENOSYLHOMOCYSCAT-PWY|	good_blast	NA	rxn00693 rxn16206 rxn33979 	NA	0	1
N6-HYDROXYLYSINE-O-ACETYLTRANSFERASE-RXN	N6-hydroxylysine N-acetyltransferase	2.3.1.102	NA									|AEROBACTINSYN-PWY|	no_seq_data	NA	rxn02266 	NA	0	NA
1.14.13.59-RXN	L-lysine 6-monooxygenase	1.14.13.59/1.13.12.10	NA									|AEROBACTINSYN-PWY|	no_blast	NA	rxn00311 	NA	0	NA
RXN-13054	citrate:N6-acetyl-N6-hydroxy-L-lysine ligase	6.3.2.38	NA									|AEROBACTINSYN-PWY|	no_seq_data	NA	 	NA	0	NA
RXN-13056	aerobactin synthase	6.3.2.39	NA									|AEROBACTINSYN-PWY|	no_blast	NA	 	NA	0	NA
ALANINE-AMINOTRANSFERASE-RXN	alanine aminotransferase	2.6.1.2	NA	tr|Q9P9M8|Q9P9M8_9EURY	35.946	9.79e-56	195	92	scaffold00003	146977	145910	|ALACAT2-PWY|	bad_blast	NA	rxn00191 rxn33940 	NA	0	NA
DLACTDEHYDROGNAD-RXN	D-lactate dehydrogenase	1.1.1.28	NA	UniRef50_I7KDQ5	27.562	1.39e-23	99.8	79	scaffold00001	216297	215515	|ALACAT2-PWY|	bad_blast	NA	rxn00500 	NA	0	NA
GLUTAMATE-DEHYDROGENASE-RXN	glutamate dehydrogenase	1.4.1.2	NA	UniRef90_A3MUY9	32.080	1.57e-49	178	92	scaffold00020	22508	21324	|ALACAT2-PWY|	bad_blast	NA	rxn00182 rxn19827 	NA	0	NA
ALARACECAT-RXN	alanine racemase	5.1.1.1		UniRef90_Q6LX41	43.085	2.10e-85	280	98	scaffold00028	5612	4509	|ALADEG-PWY|	good_blast	NA	rxn00283 	NA	0	1
DALADEHYDROG-RXN	D-alanine dehydrogenase		NA									|ALADEG-PWY|	no_seq_data	NA	 	NA	0	NA
ALANINE-AMINOTRANSFERASE-RXN	alanine aminotransferase	2.6.1.2	NA	tr|Q9P9M8|Q9P9M8_9EURY	35.946	9.79e-56	195	92	scaffold00003	146977	145910	|ALANINE-DEG3-PWY|	bad_blast	NA	rxn00191 rxn33940 	NA	0	NA
ALANINE-AMINOTRANSFERASE-RXN	alanine aminotransferase	2.6.1.2	NA	tr|Q9P9M8|Q9P9M8_9EURY	35.946	9.79e-56	195	92	scaffold00003	146977	145910	|ALANINE-SYN2-PWY|	bad_blast	NA	rxn00191 rxn33940 	NA	0	NA
BRANCHED-CHAINAMINOTRANSFERVAL-RXN	valine transaminase	2.6.1.42	NA	UniRef90_O29329	28.514	2.37e-14	70.5	78	scaffold00052	5295	4576	|ALANINE-VALINESYN-PWY|	bad_blast	NA	rxn00806 rxn00903 rxn01575 rxn31232 rxn33935 rxn33936 	NA	0	NA
VALINE-PYRUVATE-AMINOTRANSFER-RXN	valine-pyruvate aminotransferase	2.6.1.66		UniRef50_K0NBN9	37.838	2.91e-74	248	95	scaffold00003	147019	145913	|ALANINE-VALINESYN-PWY|	good_blast	NA	rxn00904 rxn33939 	NA	0	1
RXN-12444	FMN reductase	1.5.1.38		UniRef50_A0A1C5RQC1	57.386	7.77e-63	206	99	scaffold00002	211478	212002	|ALKANEMONOX-PWY|	good_blast	NA	rxn03975 	NA	0	1
RXN0-280	alkanesulfonate monooxygenase	1.14.14.5	NA									|ALKANEMONOX-PWY|	no_blast	NA	rxn05737 rxn07204 rxn08467 rxn26030 	NA	0	NA
AMONITRO-RXN	ammonia monooxygenase	1.14.99.39	NA									|AMMOXID-PWY|	no_blast	NA	rxn14010 rxn16361 rxn19165 rxn90090 	Subunit 1	0	NA
AMONITRO-RXN	ammonia monooxygenase	1.14.99.39	NA									|AMMOXID-PWY|	no_blast	NA	rxn14010 rxn16361 rxn19165 rxn90090 	Subunit 2	0	NA
AMONITRO-RXN	ammonia monooxygenase	1.14.99.39	NA									|AMMOXID-PWY|	no_blast	NA	rxn14010 rxn16361 rxn19165 rxn90090 	Subunit 3	0	NA
AMONITRO-RXN	ammonia monooxygenase	1.14.99.39	NA									|AMMOXID-PWY|	no_blast	NA	rxn14010 rxn16361 rxn19165 rxn90090 	Subunit undefined	0	NA
AMONITRO-RXN	ammonia monooxygenase	1.14.99.39	NA									|AMMOXID-PWY|	no_blast	NA	rxn14010 rxn16361 rxn19165 rxn90090 	NA	0	NA
HAONITRO-RXN	hydroxylamine oxidoreductase	1.7.2.6	NA									|AMMOXID-PWY|	no_blast	NA	rxn40053 	NA	0	NA
6PFRUCTPHOS-RXN	6-phosphofructokinase	2.7.1.11		UniRef50_A0A1X7API9	48.000	2.09e-89	289	99	scaffold00002	24376	25338	|ANAGLYCOLYSIS-PWY|	good_blast	NA	rxn00545 rxn00554 rxn00556 rxn00557 rxn01343 rxn01346 rxn01347 rxn01348 rxn02314 rxn02315 rxn02316 rxn02317 rxn15063 rxn15065 rxn15066 rxn15493 rxn30050 rxn31649 rxn31652 rxn31653 rxn31658 rxn33754 rxn33839 rxn38002 	NA	0	1
6PFRUCTPHOS-RXN	6-phosphofructokinase	2.7.1.11		UniRef50_A0A2M7SE44	48.297	1.16e-88	287	99	scaffold00002	24385	25338	|ANAGLYCOLYSIS-PWY|	good_blast	NA	rxn00545 rxn00554 rxn00556 rxn00557 rxn01343 rxn01346 rxn01347 rxn01348 rxn02314 rxn02315 rxn02316 rxn02317 rxn15063 rxn15065 rxn15066 rxn15493 rxn30050 rxn31649 rxn31652 rxn31653 rxn31658 rxn33754 rxn33839 rxn38002 	NA	0	1
6PFRUCTPHOS-RXN	6-phosphofructokinase	2.7.1.11		UniRef50_A0A2H6GU81	45.266	1.89e-83	273	95	scaffold00068	346	1353	|ANAGLYCOLYSIS-PWY|	good_blast	NA	rxn00545 rxn00554 rxn00556 rxn00557 rxn01343 rxn01346 rxn01347 rxn01348 rxn02314 rxn02315 rxn02316 rxn02317 rxn15063 rxn15065 rxn15066 rxn15493 rxn30050 rxn31649 rxn31652 rxn31653 rxn31658 rxn33754 rxn33839 rxn38002 	NA	0	1
6PFRUCTPHOS-RXN	6-phosphofructokinase	2.7.1.11		UniRef50_A0A2H6GU81	38.304	8.30e-66	222	99	scaffold00002	24388	25338	|ANAGLYCOLYSIS-PWY|	good_blast	NA	rxn00545 rxn00554 rxn00556 rxn00557 rxn01343 rxn01346 rxn01347 rxn01348 rxn02314 rxn02315 rxn02316 rxn02317 rxn15063 rxn15065 rxn15066 rxn15493 rxn30050 rxn31649 rxn31652 rxn31653 rxn31658 rxn33754 rxn33839 rxn38002 	NA	0	1
6PFRUCTPHOS-RXN	6-phosphofructokinase	2.7.1.11		UniRef50_A0A1F9ADT7	47.059	8.91e-61	202	98	scaffold00068	337	1035	|ANAGLYCOLYSIS-PWY|	good_blast	NA	rxn00545 rxn00554 rxn00556 rxn00557 rxn01343 rxn01346 rxn01347 rxn01348 rxn02314 rxn02315 rxn02316 rxn02317 rxn15063 rxn15065 rxn15066 rxn15493 rxn30050 rxn31649 rxn31652 rxn31653 rxn31658 rxn33754 rxn33839 rxn38002 	NA	0	1
6PFRUCTPHOS-RXN	6-phosphofructokinase	2.7.1.11		UniRef50_A0A2M7SE44	36.550	8.87e-59	201	96	scaffold00068	343	1353	|ANAGLYCOLYSIS-PWY|	good_blast	NA	rxn00545 rxn00554 rxn00556 rxn00557 rxn01343 rxn01346 rxn01347 rxn01348 rxn02314 rxn02315 rxn02316 rxn02317 rxn15063 rxn15065 rxn15066 rxn15493 rxn30050 rxn31649 rxn31652 rxn31653 rxn31658 rxn33754 rxn33839 rxn38002 	NA	0	1
F16ALDOLASE-RXN	fructose-bisphosphate aldolase	4.1.2.13/4.1.2.7	NA	UniRef90_D4GYE0	31.600	4.24e-21	91.7	75	scaffold00001	288547	289245	|ANAGLYCOLYSIS-PWY|	bad_blast	NA	rxn00786 rxn01334 rxn01870 rxn15116 rxn28981 rxn31335 rxn33841 rxn33866 	NA	0	NA
TRIOSEPISOMERIZATION-RXN	triosephosphate isomerase	5.3.1.1	NA	UniRef90_Q96YZ9	23.301	1.78e-04	39.3	78	scaffold00001	303906	304511	|ANAGLYCOLYSIS-PWY|	bad_blast	NA	rxn00747 	NA	0	NA
GAPOXNPHOSPHN-RXN	glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12	NA									|ANAGLYCOLYSIS-PWY|	no_blast	NA	rxn00781 rxn33210 rxn33842 	Subunit 2	0	1
GAPOXNPHOSPHN-RXN	glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12		UniRef50_O34425	44.152	1.72e-83	273	98	scaffold00001	301289	302299	|ANAGLYCOLYSIS-PWY|	good_blast	NA	rxn00781 rxn33210 rxn33842 	Subunit undefined	0	1
GAPOXNPHOSPHN-RXN	glyceraldehyde-3-phosphate dehydrogenase	1.2.1.12		UniRef50_O34425	43.323	6.80e-82	268	98	scaffold00050	13573	12566	|ANAGLYCOLYSIS-PWY|	good_blast	NA	rxn00781 rxn33210 rxn33842 	Subunit undefined	0	1
PHOSGLYPHOS-RXN	phosphoglycerate kinase	2.7.2.3		UniRef90_A2SSW4	32.471	3.38e-58	202	98	scaffold00001	302545	303747	|ANAGLYCOLYSIS-PWY|	good_blast	NA	rxn01100 rxn32521 rxn33845 	NA	0	1
